title,release_date,release_year,worldwide_box_office,split
Beyond the Limit,1983-09-30,1983,5997566.0,train
The Survivors,1983-06-22,1983,14000000.0,train
The Lonely Lady,1983-09-30,1983,1223200.0,train
The Star Chamber,1983-08-05,1983,5555305.0,train
The Dresser,1983-12-06,1983,5310748.0,train
The Lords of Discipline,1983-02-18,1983,11787127.0,train
The Man Who Loved Women,1983-12-16,1983,10964740.0,train
Nightmares,1983-09-09,1983,6670680.0,train
Deal of the Century,1983-11-04,1983,10369581.0,train
Eddie Macon's Run,1983-03-25,1983,1262691.0,train
Max Dugan Returns,1983-03-25,1983,17613720.0,train
The Sting II,1983-02-18,1983,6347072.0,train
Baby It's You,1983-03-04,1983,1867792.0,train
Heat and Dust,,1983,1772889.0,train
Daniel,1984-02-10,1983,687475.0,train
Heart Like a Wheel,1983-04-01,1983,272278.0,train
Love Letters,1984-04-27,1983,5269990.0,train
Get Crazy,1983-08-05,1983,1645711.0,train
Nate and Hayes,1983-11-18,1983,1963756.0,train
Strange Invaders,1983-09-16,1983,1362303.0,train
The Black Stallion Returns,1983-03-25,1983,12049514.0,train
Metalstorm: the Destruction of Jared-Syn,1983-08-19,1983,5301085.0,train
Getting It on,,1983,975414.0,train
Lianna,1983-09-08,1983,1530839.0,train
Lovesick,1983-02-18,1983,10171304.0,train
Running Brave,1983-11-04,1983,3000000.0,train
Exposed,1983-04-22,1983,1818910.0,train
Trenchcoat,1983-03-11,1983,4304286.0,train
Stryker,1983-09-02,1983,1723487.0,train
The Man Who Wasn't There,1983-08-12,1983,2443487.0,train
Table for Five,1983-03-10,1983,2439705.0,train
Romantic Comedy,1983-10-07,1983,6857733.0,train
"Man, Woman and Child",1983-09-07,1983,2314561.0,train
Slayground,,1983,108128.0,train
Richard Pryor... Here and Now,1983-10-28,1983,16156776.0,train
My Brother's Wedding,,1983,26177.0,train
The Golden Seal,1983-08-19,1983,6666725.0,train
The Terminator,1984-10-26,1984,78371200.0,train
Dune,1984-12-14,1984,30925690.0,train
Ghostbusters,1984-06-08,1984,296187079.0,train
The Karate Kid,1984-06-22,1984,91119319.0,train
Once Upon a Time in America,1984-06-01,1984,5473212.0,train
Police Academy,1984-03-23,1984,81198894.0,train
Indiana Jones and the Temple of Doom,1984-05-23,1984,333107271.0,train
Body Double,1984-10-26,1984,8801940.0,train
A Nightmare on Elm Street,1984-11-16,1984,25507137.0,train
Amadeus,1984-09-19,1984,52066791.0,train
Beverly Hills Cop,1984-12-05,1984,316360478.0,train
Red Dawn,1984-08-10,1984,38376497.0,train
The NeverEnding Story,1984-07-20,1984,20251411.0,train
Footloose,1984-02-17,1984,80039064.0,train
Revenge of the Nerds,1984-08-10,1984,40874452.0,train
Gremlins,1984-06-08,1984,153633143.0,train
Romancing the Stone,1984-03-30,1984,86572238.0,train
Streets of Fire,1984-06-01,1984,8089290.0,train
Sixteen Candles,1984-05-04,1984,23686027.0,train
"Paris, Texas",1984-08-23,1984,2207548.0,train
This Is Spinal Tap,1984-03-02,1984,4736202.0,train
1984,1985-03-22,1984,8430492.0,train
Top Secret!,1984-06-08,1984,20458340.0,train
Conan the Destroyer,1984-06-29,1984,31042035.0,train
Children of the Corn,1984-03-09,1984,14568989.0,train
The Last Starfighter,1984-07-13,1984,28733290.0,train
