title,release_date,log_budget,release_year,release_month,release_quarter,holiday_release,director_prior_films,director_prior_avg_gross,star_prior_films,star_prior_avg_gross,company_prior_films,company_prior_avg_gross,primary_genre,release_season,worldwide_box_office,log_worldwide_box_office
Eye of the Needle,1981-07-24,,1981,7.0,3.0,0,0,,1,54766923.0,1,15934737.0,Unknown,summer,17583634.0,16.682479197903277
Wolfen,1981-07-24,16.648723960844016,1981,7.0,3.0,0,0,,0,,1,39846344.0,Unknown,summer,10626725.0,16.178882706640483
Student Bodies,1981-08-07,,1981,8.0,3.0,0,0,,0,,0,,Unknown,winter,5165432.0,15.457499490516721
Prince of the City,1981-08-26,15.967272877502799,1981,8.0,3.0,0,1,2086905.0,1,1175855.0,1,39846344.0,Unknown,winter,8124257.0,15.910364958932947
The Hand,1981-04-24,,1981,4.0,2.0,0,0,,2,23807914.0,1,39846344.0,Unknown,spring,2447576.0,14.710609113566083
Continental Divide,1981-09-18,,1981,9.0,3.0,0,1,67182787.0,1,115229890.0,12,30814768.666666668,Unknown,fall,15578237.0,16.561385498301416
Diva,1982-04-23,,1981,4.0,2.0,0,0,,0,,0,,Unknown,spring,110014.0,11.608371999114242
Venom,1982-01-29,,1981,1.0,1.0,0,1,10697276.0,0,,0,,Unknown,winter,5229643.0,15.469853764890665
Fort Apache the Bronx,1981-02-06,,1981,2.0,1.0,0,1,3910019.0,1,3763988.0,1,2806659.0,Unknown,winter,29200000.0,17.189679301485086
Eyes of a Stranger,1981-03-27,13.592368256649284,1981,3.0,1.0,0,0,,0,,0,,Unknown,spring,1118634.0,13.92761974999152
Under the Rainbow,1981-07-31,16.811242881518265,1981,7.0,3.0,0,0,,2,23031205.5,0,,Unknown,summer,18826490.0,16.750775531701077
Carbon Copy,1981-09-25,15.607270193858982,1981,9.0,3.0,0,0,,0,,0,,Unknown,fall,9566593.0,16.073787796214077
The Incredible Shrinking Woman,1981-01-30,,1981,1.0,1.0,0,0,,0,,0,,Unknown,winter,20259961.0,16.824157181166072
The Night the Lights Went Out in Georgia,1981-06-05,,1981,6.0,2.0,0,1,34326249.0,0,,0,,Unknown,summer,14923752.0,16.518464662663575
Quartet,1981-10-25,,1981,10.0,4.0,0,0,,0,,0,,Unknown,fall,12042.0,9.39623885726048
Modern Problems,1981-12-25,15.894952224644102,1981,12.0,4.0,1,0,,2,23031205.5,3,21334886.666666668,Unknown,holiday,26154211.0,17.079520806250404
Pennies from Heaven,1982-01-01,16.906553056777135,1981,1.0,1.0,0,0,,0,,2,11189342.0,Unknown,winter,9171289.0,16.031588510456466
The Legend of the Lone Ranger,1981-05-22,16.705882371415992,1981,5.0,2.0,0,0,,0,,0,,Unknown,summer,12617845.0,16.3506227190516
Sphinx,1981-02-11,16.454567959008102,1981,2.0,1.0,0,0,,0,,1,39846344.0,Unknown,winter,2022771.0,14.51997940589323
Night School,1981-09-11,,1981,9.0,3.0,0,0,,0,,0,,Unknown,fall,1169875.0,13.972408318251372
Zoot Suit,1982-01-01,14.80876270134486,1981,1.0,1.0,0,0,,0,,12,30814768.666666668,Unknown,winter,3256082.0,14.99603549718016
Rich and Famous,1981-10-09,,1981,10.0,4.0,0,0,,0,,0,,Unknown,fall,14492125.0,16.48911602541142
Buddy Buddy,1981-12-11,16.118095750958314,1981,12.0,4.0,1,0,,0,,0,,Unknown,holiday,7258543.0,15.797689815723757
Bustin' Loose,1981-05-22,16.213405921671733,1981,5.0,2.0,0,0,,0,,12,30814768.666666668,Unknown,summer,31261269.0,17.25789050913171
Modern Romance,1981-03-13,,1981,3.0,1.0,0,0,,0,,3,58102907.666666664,Unknown,spring,2863642.0,14.867605148455123
Heartbeeps,1981-12-18,16.300417291085605,1981,12.0,4.0,1,0,,0,,12,30814768.666666668,Unknown,holiday,2154696.0,14.583160668386162
Back Roads,1981-03-13,,1981,3.0,1.0,0,0,,0,,0,,Unknown,spring,11809387.0,16.28440536633971
Take This Job and Shove It,1981-05-15,15.068273812173887,1981,5.0,2.0,0,0,,1,83453539.0,0,,Unknown,summer,17569027.0,16.681648137062126
Raggedy Man,1981-09-18,,1981,9.0,3.0,0,0,,1,67182787.0,12,30814768.666666668,Unknown,fall,1976198.0,14.496685860721215
Whose Life Is It Anyway?,1982-01-22,16.380459992348886,1981,1.0,1.0,0,0,,1,14287755.0,2,11189342.0,Unknown,winter,8206145.0,15.92039394368561
Inchon,1982-09-17,17.6441519761925,1981,9.0,3.0,0,0,,1,27118000.0,0,,Unknown,fall,5200986.0,15.464358973232763
All Night Long,1981-03-06,16.454567959008102,1981,3.0,1.0,0,0,,1,108185706.0,12,30814768.666666668,Unknown,spring,4454295.0,15.309379581708471
